nombre,anio,mes,semana,cereales,legumbres
SAN SEBASTIÁN DE LOS REYES,2025,1,5,0,0
ARGANDA DEL REY,2025,1,5,0,0
ALCALA DE HENARES,2025,1,5,0,0
ROZAS DE PUERTO REAL,2025,1,5,0,0
ALPEDRETE,2025,1,5,0,0
TIELMES,2025,1,5,0,0
PUERTO DE NAVACERRADA,2025,1,5,0,0
GETAFE,2025,1,5,0,0
"MADRID, RETIRO",2025,1,5,0,0
"MADRID, CUATRO VIENTOS",2025,1,5,0,0
COLMENAR VIEJO,2025,1,5,0,0
PUERTO ALTO DEL LEÓN,2025,1,5,0,0
MADRID AEROPUERTO,2025,1,5,0,0
ARANJUEZ,2025,1,5,0,0
BUITRAGO DEL LOZOYA,2025,1,5,0,0
ROBLEDO DE CHAVELA,2025,1,5,0,0
RASCAFRÍA,2025,1,5,0,0
"MADRID, EL GOLOSO",2025,1,5,0,0
POZUELO DE ALARCÓN,2025,1,5,0,0
SOMOSIERRA,2025,1,5,0,0
VALDEMORILLO,2025,1,5,0,0
SAN SEBASTIÁN DE LOS REYES,2025,1,5,0,0
ARGANDA DEL REY,2025,1,5,0,0
ALCALA DE HENARES,2025,1,5,0,0
ROZAS DE PUERTO REAL,2025,1,5,0,0
ALPEDRETE,2025,1,5,0,0
TIELMES,2025,1,5,0,0
PUERTO DE NAVACERRADA,2025,1,5,0,0
GETAFE,2025,1,5,0,0
"MADRID, RETIRO",2025,1,5,0,0
"MADRID, CUATRO VIENTOS",2025,1,5,0,0
COLMENAR VIEJO,2025,1,5,0,0
PUERTO ALTO DEL LEÓN,2025,1,5,0,0
MADRID AEROPUERTO,2025,1,5,0,0
ARANJUEZ,2025,1,5,0,0
BUITRAGO DEL LOZOYA,2025,1,5,0,0
ROBLEDO DE CHAVELA,2025,1,5,0,0
RASCAFRÍA,2025,1,5,0,0
"MADRID, EL GOLOSO",2025,1,5,0,0
POZUELO DE ALARCÓN,2025,1,5,0,0
SOMOSIERRA,2025,1,5,0,0
VALDEMORILLO,2025,1,5,0,0
SAN SEBASTIÁN DE LOS REYES,2025,1,5,0,0
ARGANDA DEL REY,2025,1,5,0,0
ALCALA DE HENARES,2025,1,5,0,0
ROZAS DE PUERTO REAL,2025,1,5,0,0
ALPEDRETE,2025,1,5,0,0
TIELMES,2025,1,5,0,0
PUERTO DE NAVACERRADA,2025,1,5,0,0
GETAFE,2025,1,5,0,0
"MADRID, RETIRO",2025,1,5,0,0
"MADRID, CUATRO VIENTOS",2025,1,5,0,0
COLMENAR VIEJO,2025,1,5,0,0
PUERTO ALTO DEL LEÓN,2025,1,5,0,0
MADRID AEROPUERTO,2025,1,5,0,0
ARANJUEZ,2025,1,5,0,0
BUITRAGO DEL LOZOYA,2025,1,5,0,0
ROBLEDO DE CHAVELA,2025,1,5,0,0
RASCAFRÍA,2025,1,5,0,0
"MADRID, EL GOLOSO",2025,1,5,0,0
POZUELO DE ALARCÓN,2025,1,5,0,0
SOMOSIERRA,2025,1,5,0,0
VALDEMORILLO,2025,1,5,0,0
SAN SEBASTIÁN DE LOS REYES,2025,1,5,0,0
ARGANDA DEL REY,2025,1,5,0,0
ALCALA DE HENARES,2025,1,5,0,0
ROZAS DE PUERTO REAL,2025,1,5,0,0
ALPEDRETE,2025,1,5,0,0
TIELMES,2025,1,5,0,0
PUERTO DE NAVACERRADA,2025,2,5,0,0
GETAFE,2025,2,5,0,0
"MADRID, RETIRO",2025,2,5,0,0
"MADRID, CUATRO VIENTOS",2025,2,5,0,0
COLMENAR VIEJO,2025,2,5,0,0
PUERTO ALTO DEL LEÓN,2025,2,5,0,0
MADRID AEROPUERTO,2025,2,5,0,0
ARANJUEZ,2025,2,5,0,0
BUITRAGO DEL LOZOYA,2025,2,5,0,0
ROBLEDO DE CHAVELA,2025,2,5,0,0
RASCAFRÍA,2025,2,5,0,0
"MADRID, EL GOLOSO",2025,2,5,0,0
POZUELO DE ALARCÓN,2025,2,5,0,0
SOMOSIERRA,2025,2,5,0,0
VALDEMORILLO,2025,2,5,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,5,0,0
ARGANDA DEL REY,2025,2,5,0,0
ALCALA DE HENARES,2025,2,5,0,0
ROZAS DE PUERTO REAL,2025,2,5,0,0
ALPEDRETE,2025,2,5,0,0
TIELMES,2025,2,5,0,0
PUERTO DE NAVACERRADA,2025,2,5,0,0
GETAFE,2025,2,5,0,0
"MADRID, RETIRO",2025,2,5,0,0
"MADRID, CUATRO VIENTOS",2025,2,5,0,0
COLMENAR VIEJO,2025,2,5,0,0
PUERTO ALTO DEL LEÓN,2025,2,5,0,0
MADRID AEROPUERTO,2025,2,5,0,0
ARANJUEZ,2025,2,5,0,0
BUITRAGO DEL LOZOYA,2025,2,5,0,0
ROBLEDO DE CHAVELA,2025,2,5,0,0
RASCAFRÍA,2025,2,5,0,0
"MADRID, EL GOLOSO",2025,2,5,0,0
POZUELO DE ALARCÓN,2025,2,5,0,0
SOMOSIERRA,2025,2,5,0,0
VALDEMORILLO,2025,2,5,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,5,0,0
ARGANDA DEL REY,2025,2,5,0,0
ALCALA DE HENARES,2025,2,5,0,0
ROZAS DE PUERTO REAL,2025,2,5,0,0
ALPEDRETE,2025,2,5,0,0
TIELMES,2025,2,5,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,6,0,0
GETAFE,2025,2,6,0,0
"MADRID, RETIRO",2025,2,6,0,0
"MADRID, CUATRO VIENTOS",2025,2,6,0,0
COLMENAR VIEJO,2025,2,6,0,1
PUERTO ALTO DEL LEÓN,2025,2,6,0,0
MADRID AEROPUERTO,2025,2,6,0,0
ARANJUEZ,2025,2,6,0,0
BUITRAGO DEL LOZOYA,2025,2,6,0,0
ROBLEDO DE CHAVELA,2025,2,6,0,0
RASCAFRÍA,2025,2,6,0,0
"MADRID, EL GOLOSO",2025,2,6,0,0
POZUELO DE ALARCÓN,2025,2,6,0,0
SOMOSIERRA,2025,2,6,0,0
VALDEMORILLO,2025,2,6,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,6,0,0
ARGANDA DEL REY,2025,2,6,0,0
ALCALA DE HENARES,2025,2,6,0,0
ROZAS DE PUERTO REAL,2025,2,6,0,0
ALPEDRETE,2025,2,6,0,0
TIELMES,2025,2,6,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,7,0,0
GETAFE,2025,2,7,0,0
"MADRID, RETIRO",2025,2,7,0,0
"MADRID, CUATRO VIENTOS",2025,2,7,0,0
COLMENAR VIEJO,2025,2,7,0,1
PUERTO ALTO DEL LEÓN,2025,2,7,0,0
MADRID AEROPUERTO,2025,2,7,0,0
ARANJUEZ,2025,2,7,0,0
BUITRAGO DEL LOZOYA,2025,2,7,0,0
ROBLEDO DE CHAVELA,2025,2,7,0,0
RASCAFRÍA,2025,2,7,0,0
"MADRID, EL GOLOSO",2025,2,7,0,0
POZUELO DE ALARCÓN,2025,2,7,0,0
SOMOSIERRA,2025,2,7,0,0
VALDEMORILLO,2025,2,7,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,7,0,0
ARGANDA DEL REY,2025,2,7,0,0
ALCALA DE HENARES,2025,2,7,0,0
ROZAS DE PUERTO REAL,2025,2,7,0,0
ALPEDRETE,2025,2,7,0,0
TIELMES,2025,2,7,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,8,0,0
GETAFE,2025,2,8,0,0
"MADRID, RETIRO",2025,2,8,0,0
"MADRID, CUATRO VIENTOS",2025,2,8,0,0
COLMENAR VIEJO,2025,2,8,0,1
PUERTO ALTO DEL LEÓN,2025,2,8,0,0
MADRID AEROPUERTO,2025,2,8,0,0
ARANJUEZ,2025,2,8,0,0
BUITRAGO DEL LOZOYA,2025,2,8,0,0
ROBLEDO DE CHAVELA,2025,2,8,0,0
RASCAFRÍA,2025,2,8,0,0
"MADRID, EL GOLOSO",2025,2,8,0,0
POZUELO DE ALARCÓN,2025,2,8,0,0
SOMOSIERRA,2025,2,8,0,0
VALDEMORILLO,2025,2,8,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,8,0,0
ARGANDA DEL REY,2025,2,8,0,0
ALCALA DE HENARES,2025,2,8,0,0
ROZAS DE PUERTO REAL,2025,2,8,0,0
ALPEDRETE,2025,2,8,0,0
TIELMES,2025,2,8,0,0
PUERTO DE NAVACERRADA,2025,2,9,0,0
GETAFE,2025,2,9,0,0
"MADRID, RETIRO",2025,2,9,0,0
"MADRID, CUATRO VIENTOS",2025,2,9,0,0
COLMENAR VIEJO,2025,2,9,0,1
PUERTO ALTO DEL LEÓN,2025,2,9,0,0
MADRID AEROPUERTO,2025,2,9,0,0
ARANJUEZ,2025,2,9,0,0
BUITRAGO DEL LOZOYA,2025,2,9,0,0
ROBLEDO DE CHAVELA,2025,2,9,0,0
RASCAFRÍA,2025,2,9,0,0
"MADRID, EL GOLOSO",2025,2,9,0,0
POZUELO DE ALARCÓN,2025,2,9,0,0
SOMOSIERRA,2025,2,9,0,0
VALDEMORILLO,2025,2,9,0,0
SAN SEBASTIÁN DE LOS REYES,2025,2,9,0,0
ARGANDA DEL REY,2025,2,9,0,0
ALCALA DE HENARES,2025,2,9,0,0
ROZAS DE PUERTO REAL,2025,2,9,0,0
ALPEDRETE,2025,2,9,0,0
TIELMES,2025,2,9,0,0
PUERTO DE NAVACERRADA,2025,2,9,0,0
GETAFE,2025,2,9,0,0
"MADRID, RETIRO",2025,2,9,0,0
"MADRID, CUATRO VIENTOS",2025,2,9,0,0
COLMENAR VIEJO,2025,2,9,0,1
PUERTO ALTO DEL LEÓN,2025,2,9,0,0
MADRID AEROPUERTO,2025,2,9,0,0
ARANJUEZ,2025,2,9,0,0
BUITRAGO DEL LOZOYA,2025,2,9,0,0
